delta,theta,alpha,beta

0.9376237241594498,0.5005393491797433,0.2250719156226253,-0.03561355140434311

0.48432997764675345,-0.13072392839046415,-0.3426644122458694,-0.636752207453601

0.6764705677974701,-0.11811114827456633,-0.24671245278675963,-0.31796396301078506

0.5467514191819175,0.16995956033588808,-0.09759224469185239,-0.3905975880023792

0.6627005977566722,-0.0681496715527029,-0.23352355958692256,-0.4947668551129804

0.7239526095835846,0.17678347641064937,-0.12932050946494172,-0.4523858978706364

0.6371270228575913,0.22937638581968764,-0.13441802982469073,-0.3923490729328883

0.5757007638033964,0.030421470732355408,-0.07945045320865231,-0.4757350571451963

0.39095018521541963,0.24970892841934458,-0.3238034851428969,-0.5717936499935007

0.9621686786175855,0.2799071060902,-0.1611007006183885,-0.6513256447653384

0.7390160302368867,0.1549056057787614,-0.11685546136605315,-0.2695839198238708

0.6210583710640291,-0.026765631133127497,-0.3065646595734757,-0.5249604210006459

0.4079045785925195,0.4327808920561976,0.1637618111996629,-0.31564588257814363

0.7845063630648178,0.2879293200974578,0.08984723290360788,-0.2503054090119633

0.5553558516312784,-0.06938170043024988,-0.4893043421754228,-0.4081017649258204

0.4828658423771131,-0.17561826493123553,-0.6316620284405365,-0.7451855964640067

0.4440396905798907,0.22456377171541883,-0.09260040186304148,-0.5969176088140913

0.9458785891063319,0.5521449009672734,0.09372242189809002,-0.16520932857011963

0.6222983540277208,-0.01311516973019213,-0.16081606580569568,-0.3513070068098523

0.8511326927945477,0.2418220573612281,-0.21581766127618787,-0.2949374775666883

0.34394335182498864,0.023748099984898605,-0.0686750772018554,-0.27435592629700134

0.6874953461971421,-0.009375464329504207,-0.18190102031639618,-0.1502505824028343

0.5537370457235176,0.013343005175993154,-0.2921602457598721,-0.5546905081322285

0.7174758377446837,0.023028028443762723,-0.3718796015895488,-0.5517856810150318

0.594155076643072,0.19459492466514927,-0.16727359436071126,-0.4315521064604176

0.46833792251317824,-0.08153816791800293,-0.32621684908518084,-0.6227741058128621

0.6032819478880145,0.10216236959216436,-0.09318367734391163,-0.4487917332644405

0.4887899214765526,-0.1869427717642125,-0.34330751941180104,-0.5195831135142815

0.6054228854255544,0.15787300393138165,0.06615256137767589,-0.3301990606115201

0.5073069547189816,-0.24246737731251577,-0.5292498264818842,-0.5674150842362963

0.5859554248645261,0.1490429010060668,-0.0948433363248106,-0.4256468528443006

0.19256325220657264,-0.20537234529195586,-0.49665262668608634,-0.5496276394402712

0.7323190088099804,0.27471476397389866,-0.03504704934118835,-0.3885232283243394

0.6618448713494028,-0.3292583378262366,-0.7551297477438832,-0.558865144302959

0.5269861953702203,0.23257845826449833,0.0522503230646093,-0.30376437242824006

0.43500472908339716,-0.5005266984007471,-0.7684830690654444,-0.6965111694924127

0.58959356069372,-0.08600572923062934,-0.5117203211220298,-0.593934668994253

0.5222245892934887,-0.010900767272256943,-0.34183451933406356,-0.5743441010631318

0.5038080482007339,-0.27836368547693024,-0.8734787746688939,-0.7081871106676909

0.17738861495692246,-0.26001496150171105,-0.3713419760936089,-0.805259104770614

0.2303846558406767,-0.07828447395994902,-0.5861917548776373,-0.5365577246319221

0.43236407885220246,-0.4041766512220415,-0.876346245374542,-0.8493040683959253

0.6881734590596547,0.09207154479396472,-0.07884151258476985,-0.4422616788057887

0.6724944400859055,0.04711998690221413,-0.182915678186727,-0.5623168582502324

0.44961052468135115,0.08136190580322646,-0.15083348194789423,-0.4631158327515692

0.5304524628240053,-0.07472051797051595,-0.16864477387539892,-0.5443194087441761

0.6762071245944596,-0.3450748749973301,-0.448147021750643,-0.4036334758761766

0.4112626698955203,0.6920082299964156,0.5161431906542967,-0.15421829693557923

1.1060401762579477,0.5781674435621322,0.2595599230583979,-0.22185124856475297

0.851433304271667,0.4331590652313182,0.28548128497903985,0.021285422051964823

1.2609637152461926,0.271103334447743,-0.049135923711488456,-0.22657094436288072

1.5017227207717398,1.113962024115609,0.689875630927407,0.4219098630155826

1.0938279555718502,0.7749294519775919,0.7811744421627628,0.27826821146856384

0.8439621611372299,0.0778944616491917,-0.13655639347872053,0.04397300894991685

1.058236881783867,0.9237556932348999,0.7049927686366704,0.3628396725868108

0.2902149535387392,0.4740012547612471,0.41936336660085416,-0.03553823059548407

-0.05351373539360206,-0.09978135116367093,-0.49120082867108095,-0.2520415983291999

0.6348969796221995,0.4961499343906012,0.19594496956966126,-0.3860016712125127

-0.05603622438152468,-0.28317566231329855,-0.2758368639093915,-0.3113578018274458

-0.06210604755220983,-0.21532924054753844,-0.18390538137155046,-0.32727151347902633

0.6546969012504893,0.05741116369769309,-0.43159544545731177,-0.5628608814060463

0.5188628533381721,-0.05320901681728528,-0.5735887714772218,-0.6073627870691362

0.8995479901791966,0.160845052046976,-0.10257229053915864,-0.3951435287659201

0.6690793377421808,0.31827276332296534,0.23091421333467474,0.10918891838754603

0.6240003945455552,0.32266339405267236,-0.07798915408457836,-0.0964988516843171

0.22907117645596303,-0.23957720019754442,-0.18572287747009875,-0.4805589900594873

0.7431701393971515,0.60061693532245,0.3925081336532124,0.13899937772431203

0.8624220946922926,0.34179901058519513,-0.0027978062117362808,-0.31164960375458783

0.5086427372196122,0.2569199998199251,0.06289707444211784,-0.2504488605864897

0.8942210936723155,0.2011652794425425,-0.18468974055559134,-0.3484920992231494

0.38236718128471947,0.8030780921246259,0.6071577791175071,0.38842114414592954

0.9444214100204992,0.23397780802347162,-0.2243127926969316,-0.4810527927499596

0.8681226748603438,0.41618481172904337,0.2585195602784787,-0.110210562027578

0.4405055821073695,0.15453157489331065,-0.2709734170552037,-0.38459663025559154

0.38012157925659934,-0.03390950917737921,-0.2276298550864565,-0.53631068211267

0.49708259303690266,-0.14597542997011118,-0.6081783743793991,-0.670990400001023

0.4694726554443272,-0.27208275332926035,-0.4270799077024275,-0.49620100727208827

0.40382095896579584,-0.4826655001585497,-0.5255654247372105,-0.5484639499994847

0.4708238572094053,0.09528991160051378,-0.09153995686642503,-0.4495970849419032

0.7903759822814005,0.5126133872011972,0.23116428617804932,-0.1946232996455782

0.9828951097277021,0.21344267719451332,-0.16710329824183093,-0.5125516876426638

0.8108197881736701,0.4429429616552604,0.25562289762522633,-0.1599440436987358

0.29590159801529187,-0.05461831889401736,-0.17406633553249287,-0.4161253519991527

0.5166587820603868,0.06822121274660085,-0.18403738868912659,-0.5470796099612643

0.44642112647535365,-0.2203711085485807,-0.4807030351862744,-1.0710494916871551

0.5733433391945165,-0.07278939377238237,-0.0207785661632726,-0.30488883114664017

0.6924942547570853,-0.2899544256240522,-0.22475680776957213,-0.4542936765448002

0.614432379266061,0.19232706310119502,-0.027814117115117398,-0.16247274630726918

0.5408177792761226,0.04343330639852512,-0.14871358442692206,-0.4469270871278632

0.31491062032143763,-0.18902212045394653,-0.40628146819271205,-0.7834166652811759

0.3748875701860037,-0.13211337673183443,-0.26127765470036574,-0.840648843063242

0.3955954445261574,-0.15892819472227435,-0.2793164898578517,-0.4994704816855675

0.4798157317418411,0.04759167584301777,-0.07141471627578953,-0.4996983983927043

0.8560983591592958,0.4925360023256841,0.20611079406465987,-0.13994863828357318

1.489925375871581,1.0740870218496033,0.6046100606601968,0.37908861642543584

1.41884120041818,0.6053724959867977,0.5521641247054212,0.2463729677942574

1.2672560729219713,0.5724894417323649,0.5003439533684294,0.21109790496345338

1.3201459290034467,0.650153487796751,0.46822315042504054,0.2795035462715773

1.5181999499790277,0.9194458828884452,0.4272318794976183,0.23413371039507147

1.7158233139031707,1.4564595047344049,1.1047504009276097,0.7859415468721862
